X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
22285.34263619,30370.0574193459,103.78197,1.29093,"5249",399.99968,197.45050,49.36266,103.78207,1.29079,0.94344,32.95498,Zone 2,,Temparea,Valley
22285.3422342393,30350.1539402271,103.78197,1.29075,"5250",399.99968,164.62335,41.15587,103.78207,1.29079,1.57744,32.19389,Zone 2,,Temparea,Valley
22285.3418323447,30330.2504611366,103.78197,1.29057,"5251",399.99968,114.48978,28.62247,103.78190,1.29047,5.85632,31.65971,Zone 2,,Temparea,Valley
22285.3414305062,30310.3469820743,103.78197,1.29039,"5252",399.99968,197.15187,49.28801,103.78190,1.29047,0.00000,32.33949,Zone 2,,Temparea,Valley
22305.3759021291,30409.8639736811,103.78215,1.29129,"5320",399.99968,142.25285,35.56324,103.78216,1.29119,0.00000,37.56879,Zone 2,,Temparea,Valley
22305.3755014754,30389.960494562,103.78215,1.29111,"5321",399.99968,152.95627,38.23910,103.78216,1.29119,0.00000,35.59308,Zone 2,,Temparea,Valley
22305.3751008775,30370.0570154711,103.78215,1.29093,"5322",399.99968,153.47479,38.36873,103.78207,1.29079,0.00000,34.29331,Zone 2,,Temparea,Valley
22305.3747003355,30350.1535364086,103.78215,1.29075,"5323",399.99968,229.50348,57.37592,103.78207,1.29079,0.00000,34.79010,Zone 2,,Temparea,Valley
22325.4083639437,30409.863571112,103.78233,1.29129,"5393",399.99968,141.65945,35.41489,103.78242,1.29131,3.19831,37.30763,Zone 2,,Temparea,Valley
22345.4412235916,30429.7666489966,103.78251,1.29147,"5465",399.99968,28.82617,7.20655,103.78266,1.29143,7.23761,40.01970,Zone 2,,Temparea,Valley
22345.4408257005,30409.8631699611,103.78251,1.29129,"5466",399.99968,179.22504,44.80630,103.78242,1.29131,0.00000,38.33843,Zone 2,,Temparea,Valley
22365.4736838831,30429.7662492083,103.78269,1.29147,"5538",399.99969,228.27693,57.06928,103.78266,1.29143,0.00000,39.43075,Zone 2,,Temparea,Valley
22385.5065611996,30450.7750786225,103.78287,1.29166,"5610",399.99969,131.75110,32.93780,103.78291,1.29154,0.00000,44.20155,Zone 2,,Temparea,Valley
22385.5061441186,30429.7658508384,103.78287,1.29147,"5611",399.99969,175.77315,43.94332,103.78291,1.29154,0.00000,40.95450,Zone 2,,Temparea,Valley
22046.0689265573,30510.4924613413,103.77982,1.29220,"4366",399.99965,,,103.77998,1.29240,17.98118,32.01603,Zone 2,,Temparea,Valley
22046.0672268799,30429.7727926038,103.77982,1.29147,"4370",399.99965,,,103.77973,1.29178,14.71325,24.75067,Zone 2,,Temparea,Valley
22186.2924088458,30330.2524783473,103.78108,1.29057,"4886",399.99966,,,103.78081,1.29108,15.07100,31.02801,Zone 2,,Temparea,Valley
20905.3352756577,30649.8431756569,103.76957,1.29346,"198",399.99950,205.88446,51.47118,103.76967,1.29351,0.00000,14.81251,Zone 4,,Temparea,Valley
20925.368749925,30690.7553899135,103.76975,1.29383,"269",399.99950,9.40697,2.35175,103.76980,1.29397,9.13619,16.61875,Zone 4,,Temparea,Valley
20925.3682235238,30669.7461569536,103.76975,1.29364,"270",399.99950,201.82967,50.45748,103.76967,1.29351,0.00000,15.63888,Zone 4,,Temparea,Valley
20925.3677248993,30649.8426731262,103.76975,1.29346,"271",399.99950,216.61183,54.15303,103.76967,1.29351,0.00000,15.07653,Zone 4,,Temparea,Valley
